<data>
<obtid>51068</obtid><ddatetime>2021-10-24 10:38:19</ddatetime><t>298</t><p>10191</p><u>42</u><keyid>39694</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:39:19</ddatetime><t>64</t><p>10223</p><u>1</u><keyid>39695</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:40:19</ddatetime><t>118</t><p>10066</p><u>71</u><keyid>39696</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:41:19</ddatetime><t>107</t><p>10189</p><u>61</u><keyid>39697</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:25:19</ddatetime><t>156</t><p>10118</p><u>56</u><keyid>31549</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:26:19</ddatetime><t>347</t><p>10032</p><u>89</u><keyid>31550</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:27:19</ddatetime><t>10</t><p>10193</p><u>73</u><keyid>31551</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:28:19</ddatetime><t>282</t><p>10091</p><u>90</u><keyid>31552</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:29:19</ddatetime><t>142</t><p>10107</p><u>7</u><keyid>31553</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:30:19</ddatetime><t>56</t><p>10039</p><u>98</u><keyid>31554</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:31:19</ddatetime><t>285</t><p>10252</p><u>1</u><keyid>31555</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:32:19</ddatetime><t>106</t><p>10039</p><u>49</u><keyid>31556</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:50:19</ddatetime><t>91</t><p>10035</p><u>35</u><keyid>54801</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:51:19</ddatetime><t>47</t><p>10021</p><u>76</u><keyid>54802</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:52:19</ddatetime><t>349</t><p>10169</p><u>75</u><keyid>54803</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:53:19</ddatetime><t>183</t><p>10110</p><u>83</u><keyid>54804</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:54:19</ddatetime><t>55</t><p>10008</p><u>9</u><keyid>54805</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:55:19</ddatetime><t>207</t><p>10147</p><u>38</u><keyid>54806</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:56:19</ddatetime><t>89</t><p>10183</p><u>17</u><keyid>54807</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:57:19</ddatetime><t>190</t><p>10029</p><u>69</u><keyid>54808</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:42:19</ddatetime><t>326</t><p>10193</p><u>37</u><keyid>47717</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:43:19</ddatetime><t>44</t><p>10260</p><u>88</u><keyid>47718</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:44:19</ddatetime><t>202</t><p>10177</p><u>71</u><keyid>47719</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:45:19</ddatetime><t>233</t><p>10145</p><u>24</u><keyid>47720</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:46:19</ddatetime><t>160</t><p>10056</p><u>82</u><keyid>47721</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:47:19</ddatetime><t>1</t><p>10001</p><u>81</u><keyid>47722</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:48:19</ddatetime><t>194</t><p>10033</p><u>80</u><keyid>47723</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:49:19</ddatetime><t>140</t><p>10216</p><u>56</u><keyid>47724</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:07:19</ddatetime><t>189</t><p>10260</p><u>56</u><keyid>70969</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:08:19</ddatetime><t>326</t><p>10233</p><u>28</u><keyid>70970</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:09:19</ddatetime><t>0</t><p>10082</p><u>81</u><keyid>70971</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:10:19</ddatetime><t>247</t><p>10184</p><u>75</u><keyid>70972</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:11:19</ddatetime><t>94</t><p>10044</p><u>59</u><keyid>70973</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:12:19</ddatetime><t>171</t><p>10186</p><u>37</u><keyid>70974</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:13:19</ddatetime><t>195</t><p>10126</p><u>45</u><keyid>70975</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:14:19</ddatetime><t>5</t><p>10051</p><u>3</u><keyid>70976</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:58:19</ddatetime><t>177</t><p>10048</p><u>79</u><keyid>62941</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:59:19</ddatetime><t>204</t><p>10217</p><u>39</u><keyid>62942</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:00:19</ddatetime><t>224</t><p>10261</p><u>43</u><keyid>62943</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:01:19</ddatetime><t>332</t><p>10251</p><u>23</u><keyid>62944</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:02:19</ddatetime><t>149</t><p>10138</p><u>45</u><keyid>62945</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:03:19</ddatetime><t>142</t><p>10090</p><u>90</u><keyid>62946</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:04:19</ddatetime><t>128</t><p>10099</p><u>9</u><keyid>62947</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:05:19</ddatetime><t>113</t><p>10015</p><u>80</u><keyid>62948</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:06:19</ddatetime><t>295</t><p>10083</p><u>6</u><keyid>62949</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:24:20</ddatetime><t>342</t><p>10097</p><u>3</u><keyid>86137</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:25:20</ddatetime><t>56</t><p>10111</p><u>84</u><keyid>86138</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:26:20</ddatetime><t>171</t><p>10036</p><u>28</u><keyid>86139</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:27:20</ddatetime><t>87</t><p>10166</p><u>97</u><keyid>86140</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:28:20</ddatetime><t>128</t><p>10003</p><u>48</u><keyid>86141</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:29:20</ddatetime><t>36</t><p>10051</p><u>20</u><keyid>86142</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:15:19</ddatetime><t>66</t><p>10086</p><u>91</u><keyid>78109</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:16:19</ddatetime><t>139</t><p>10147</p><u>61</u><keyid>78110</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:17:19</ddatetime><t>25</t><p>10188</p><u>79</u><keyid>78111</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:18:19</ddatetime><t>22</t><p>10044</p><u>34</u><keyid>78112</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:19:19</ddatetime><t>328</t><p>10008</p><u>95</u><keyid>78113</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:20:20</ddatetime><t>83</t><p>10159</p><u>90</u><keyid>78114</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:21:20</ddatetime><t>311</t><p>10139</p><u>17</u><keyid>78115</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:22:20</ddatetime><t>6</t><p>10212</p><u>17</u><keyid>78116</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 11:23:20</ddatetime><t>79</t><p>10146</p><u>82</u><keyid>78117</keyid><endl/>
</data>
