站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
59664,20211203191856,10.1,1022.9,33,279,14.7,0.8,10496.3
59673,20211203191856,34.3,1016.7,18,5,13.8,1.1,10389.8
59754,20211203191856,27.3,1000.1,87,155,10.1,1.3,10319.4
57947,20211203191856,20.0,1007.3,31,141,3.1,0.1,10172.7
57957,20211203191856,26.9,1002.5,11,191,3.4,0.2,10416.9
57958,20211203191856,6.5,1013.1,77,145,3.0,0.5,10320.8
59021,20211203191856,19.8,1011.4,81,271,11.0,1.4,10470.5
59023,20211203191856,2.5,1014.6,52,288,7.9,0.5,10420.5
59027,20211203191856,28.2,1007.6,99,282,3.6,0.0,10233.1
59037,20211203191856,0.6,1015.5,16,87,13.6,0.3,10311.5
59046,20211203191856,7.0,1006.1,87,86,8.0,0.7,10264.4
59058,20211203191856,0.7,1024.3,98,132,3.9,0.4,10260.2
59065,20211203191856,32.7,1010.7,7,123,4.0,0.9,10309.4
59209,20211203191856,32.9,1002.5,23,290,2.0,1.3,10195.3
59211,20211203191856,13.0,1018.0,22,344,12.6,1.5,10482.6
59218,20211203191856,34.4,1003.6,22,178,6.0,1.4,10322.9
59228,20211203191856,2.5,1011.3,56,134,0.2,0.5,10287.2
59242,20211203191856,20.8,1013.1,8,112,8.4,1.4,10350.8
59254,20211203191856,31.5,1013.1,84,95,5.8,1.2,10060.1
59265,20211203191856,8.5,1025.5,3,202,4.2,1.1,10105.6
59417,20211203191856,15.1,1020.3,44,147,11.4,0.6,10178.2
59431,20211203191856,7.1,1012.2,93,61,8.0,0.3,10368.3
59446,20211203191856,8.0,1021.8,8,351,10.7,0.2,10038.4
59453,20211203191856,28.5,1020.3,78,72,1.4,1.2,10048.2
59626,20211203191856,8.4,1026.2,88,82,10.3,1.1,10119.3
59631,20211203191856,23.8,1018.8,4,93,9.5,0.3,10007.8
59632,20211203191856,31.5,1014.9,81,114,13.2,0.8,10306.4
59644,20211203191856,33.6,1025.2,56,359,8.1,0.5,10125.3
59647,20211203191856,6.0,1006.7,58,135,2.4,0.1,10366.8
56691,20211203191856,26.5,1020.5,91,6,11.5,0.6,10331.1
56693,20211203191856,2.9,1006.8,80,11,9.4,1.5,10212.3
56792,20211203191856,17.4,1002.1,56,150,3.4,0.6,10410.4
56793,20211203191856,23.6,1026.0,45,6,6.4,0.6,10261.1
57606,20211203191856,9.2,1006.1,95,238,8.3,0.4,10116.9
57614,20211203191856,0.3,1017.7,98,3,2.8,0.8,10326.6
57625,20211203191856,9.3,1025.2,93,213,9.1,1.1,10445.4
57647,20211203191856,12.9,1002.4,58,156,5.7,0.6,10339.6
57707,20211203191856,4.3,1003.1,36,142,10.7,1.3,10378.6
57710,20211203191856,34.1,1001.7,99,342,0.0,0.3,10042.1
57712,20211203191856,28.7,1004.0,13,164,6.2,1.2,10370.8
57718,20211203191856,15.4,1008.5,35,202,6.7,0.7,10177.1
57722,20211203191856,0.4,1024.0,93,335,0.3,1.5,10335.9
57729,20211203191856,26.7,1013.8,44,194,12.8,1.3,10417.1
57731,20211203191856,29.3,1010.3,56,290,11.3,1.1,10380.5
57741,20211203191856,20.0,1014.6,25,103,8.1,1.4,10234.6
57803,20211203191856,17.0,1003.9,49,174,10.1,0.8,10002.8
57805,20211203191856,2.4,1007.0,33,289,8.0,0.7,10192.7
57806,20211203191856,29.2,1021.8,74,268,0.6,0.0,10346.5
57816,20211203191856,21.0,1013.9,66,300,2.5,0.5,10462.5
57825,20211203191856,9.3,1014.2,54,299,10.8,1.3,10104.2
57827,20211203191856,6.3,1005.8,9,58,1.3,0.4,10013.5
57832,20211203191856,32.5,1010.2,13,84,8.5,0.5,10017.6
57839,20211203191856,33.8,1003.2,44,186,11.8,1.2,10043.2
57840,20211203191856,4.6,1024.5,55,175,5.2,0.7,10191.2
57902,20211203191856,22.1,1015.0,53,293,5.3,0.4,10495.7
57906,20211203191856,3.2,1016.9,81,265,7.1,1.2,10493.0
57907,20211203191856,19.3,1019.3,15,133,10.2,0.6,10338.3
57910,20211203191856,24.1,1000.8,39,26,11.8,0.0,10161.5
57912,20211203191856,32.4,1000.8,41,194,6.3,0.0,10483.9
57916,20211203191856,28.5,1000.2,53,227,6.3,1.2,10045.4
57922,20211203191856,9.1,1000.5,75,147,6.3,0.0,10376.1
57926,20211203191856,30.6,1002.8,73,77,1.7,0.6,10000.6
57932,20211203191856,13.9,1017.1,30,320,5.9,0.5,10453.5
59758,20211203191856,11.1,1016.3,7,253,7.7,1.0,10136.0
59838,20211203191856,23.6,1007.9,90,57,7.4,1.5,10490.3
59845,20211203191856,31.8,1015.5,79,46,10.6,0.6,10156.1
59849,20211203191856,16.9,1017.5,53,92,2.3,1.3,10258.2
59855,20211203191856,16.1,1013.5,72,9,2.3,0.1,10085.1
59948,20211203191856,5.5,1011.0,40,172,3.6,1.2,10188.1
59954,20211203191856,10.0,1017.8,100,112,4.8,0.9,10155.8
59981,20211203191856,4.9,1021.9,8,351,4.6,0.7,10468.6
53399,20211203191856,24.1,1025.2,21,265,9.7,0.7,10477.4
53593,20211203191856,22.6,1009.3,22,324,1.3,0.0,10040.1
53698,20211203191856,32.0,1025.3,92,24,8.1,1.0,10135.9
53798,20211203191856,4.0,1020.4,81,178,4.8,1.1,10441.4
54308,20211203191856,29.1,1002.3,66,359,4.0,1.4,10413.7
54311,20211203191856,12.7,1024.9,91,182,10.2,1.1,10273.6
54401,20211203191856,20.9,1022.3,57,179,6.1,1.1,10227.4
54405,20211203191856,29.0,1001.2,5,16,5.6,0.4,10055.7
54423,20211203191856,15.9,1014.5,36,25,7.5,0.1,10183.0
54429,20211203191856,19.5,1013.2,49,358,6.8,0.3,10073.5
54436,20211203191856,24.6,1016.4,60,158,2.8,1.1,10153.8
54449,20211203191856,0.6,1001.7,46,216,0.1,0.9,10410.9
54518,20211203191856,26.2,1018.8,79,78,1.5,0.5,10251.2
54534,20211203191856,3.4,1008.1,1,319,10.5,0.8,10230.0
54535,20211203191856,20.7,1022.1,90,165,14.8,0.9,10291.0
54539,20211203191856,9.8,1025.4,46,77,12.9,1.0,10099.3
54602,20211203191856,10.1,1014.3,70,202,8.1,0.7,10189.5
54606,20211203191856,10.6,1009.5,88,30,8.1,1.5,10065.8
54618,20211203191856,25.7,1017.8,19,203,8.1,0.3,10410.1
54624,20211203191856,6.4,1025.3,48,225,7.5,0.8,10363.4
54705,20211203191856,28.6,1018.1,33,18,3.0,0.2,10404.0
53898,20211203191856,10.0,1000.1,45,350,1.8,0.4,10265.2
53986,20211203191856,23.3,1017.9,2,211,5.9,1.1,10216.9
57051,20211203191856,31.8,1008.1,15,220,4.1,0.9,10441.6
57067,20211203191856,26.9,1004.8,6,312,4.4,0.1,10030.2
57071,20211203191856,11.3,1014.6,96,178,4.5,1.2,10420.7
57077,20211203191856,4.2,1008.4,54,5,14.3,0.6,10129.3
57083,20211203191856,2.6,1017.0,63,126,1.3,1.2,10257.8
57084,20211203191856,15.0,1024.7,97,321,10.0,1.3,10401.8
57089,20211203191856,8.4,1012.1,9,151,3.2,0.4,10099.0
57091,20211203191856,17.1,1005.1,14,43,7.0,1.4,10485.5
57156,20211203191856,16.0,1006.7,70,130,10.7,0.7,10355.0
57178,20211203191856,21.0,1013.0,36,324,0.4,0.3,10218.2
57181,20211203191856,10.1,1003.8,96,30,7.6,1.1,10167.6
57193,20211203191856,30.6,1012.6,35,298,0.9,0.0,10193.8
57285,20211203191856,21.2,1024.3,46,299,14.5,0.6,10108.6
57290,20211203191856,22.2,1007.3,39,34,1.0,0.1,10117.6
57297,20211203191856,21.5,1004.4,1,350,13.9,0.3,10003.2
58005,20211203191856,18.8,1008.3,95,16,1.6,0.0,10491.7
58111,20211203191856,15.6,1012.3,100,269,14.9,0.4,10054.5
58208,20211203191856,10.8,1001.6,31,277,11.1,1.2,10436.2
50136,20211203191856,13.9,1021.3,75,255,14.7,1.1,10333.9
50246,20211203191856,12.3,1015.9,78,284,7.9,0.3,10355.3
50247,20211203191856,9.0,1011.9,99,226,3.4,1.3,10174.4
50349,20211203191856,5.4,1015.6,49,118,10.9,1.4,10324.6
50353,20211203191856,30.7,1002.8,51,41,14.3,0.9,10048.0
50442,20211203191856,34.4,1024.9,86,231,3.0,1.4,10191.5
50468,20211203191856,20.9,1025.8,21,236,14.4,1.5,10071.2
50557,20211203191856,18.7,1019.0,22,294,1.6,0.5,10430.7
50564,20211203191856,13.5,1016.6,72,217,14.9,0.9,10334.6
50656,20211203191856,22.7,1024.2,71,5,5.8,0.7,10261.0
50658,20211203191856,9.5,1003.7,57,169,6.2,0.9,10040.6
50674,20211203191856,21.8,1004.8,92,16,11.8,0.8,10382.6
50739,20211203191856,33.0,1016.1,47,94,3.7,0.1,10062.1
50742,20211203191856,11.9,1002.3,55,283,14.7,1.3,10351.1
50745,20211203191856,30.2,1007.2,90,325,5.4,0.5,10129.0
50756,20211203191856,13.5,1005.4,4,344,12.2,0.6,10005.0
50758,20211203191856,11.5,1025.5,16,38,4.6,1.0,10258.6
50774,20211203191856,23.8,1016.1,57,285,2.4,1.5,10496.7
50778,20211203191856,34.1,1007.6,82,40,12.0,1.4,10325.8
50788,20211203191856,29.9,1018.9,24,245,4.4,0.6,10272.1
50844,20211203191856,6.4,1014.7,36,339,8.4,0.6,10143.6
50853,20211203191856,25.8,1007.9,83,109,9.6,1.0,10260.3
50854,20211203191856,32.8,1005.4,59,246,3.7,0.3,10125.3
50862,20211203191856,15.8,1018.8,56,25,8.3,1.4,10459.7
50873,20211203191856,29.6,1008.1,5,7,13.0,0.3,10024.8
50877,20211203191856,28.4,1001.9,97,90,5.8,0.2,10349.3
50888,20211203191856,26.5,1015.4,18,169,11.8,1.1,10298.7
50950,20211203191856,2.8,1009.2,7,58,13.0,0.1,10260.9
50953,20211203191856,26.2,1010.2,38,324,10.0,1.4,10345.2
50955,20211203191856,27.6,1019.5,52,288,2.9,0.3,10086.4
50963,20211203191856,2.5,1017.5,70,324,14.9,0.2,10160.6
50968,20211203191856,2.2,1011.1,2,77,3.0,0.3,10405.0
50973,20211203191856,25.2,1025.0,51,298,1.4,1.2,10386.4
50978,20211203191856,30.4,1024.2,20,166,1.7,1.0,10383.0
50983,20211203191856,26.0,1014.4,45,157,14.9,0.9,10225.1
54094,20211203191856,13.1,1012.1,8,280,11.4,0.4,10002.4
54096,20211203191856,24.7,1010.9,46,58,9.1,0.7,10238.8
57251,20211203191856,23.0,1020.0,64,273,6.9,1.4,10108.8
57256,20211203191856,18.3,1009.4,18,216,7.4,0.5,10062.8
57259,20211203191856,2.3,1005.3,7,288,2.9,0.5,10074.5
57265,20211203191856,19.7,1012.5,98,190,4.6,0.2,10499.5
57278,20211203191856,29.5,1017.5,90,228,7.7,0.0,10187.3
57279,20211203191856,10.2,1018.0,45,76,8.9,0.1,10360.5
57355,20211203191856,23.0,1015.6,98,63,5.4,0.7,10375.0
57358,20211203191856,33.0,1019.6,72,30,14.8,1.2,10488.0
57359,20211203191856,4.0,1019.0,22,227,10.7,1.0,10297.3
57363,20211203191856,13.6,1012.0,61,353,10.2,0.0,10221.4
57378,20211203191856,27.3,1017.6,94,279,9.9,1.0,10114.1
57381,20211203191856,19.6,1017.5,78,40,12.1,0.4,10166.0
57395,20211203191856,13.2,1022.8,44,28,8.3,0.9,10065.2
57399,20211203191856,7.6,1010.7,47,247,14.4,0.2,10048.0
57439,20211203191856,28.5,1003.4,83,10,8.7,1.5,10141.8
57445,20211203191856,13.5,1005.7,56,61,2.2,1.2,10197.4
57447,20211203191856,2.1,1008.2,57,216,0.2,1.5,10087.6
57458,20211203191856,30.3,1009.1,97,80,4.6,1.1,10390.9
57461,20211203191856,19.0,1007.1,21,339,1.6,1.4,10167.8
57476,20211203191856,15.5,1009.1,83,102,10.5,0.5,10262.4
57482,20211203191856,31.6,1008.8,22,254,0.7,0.5,10213.4
57483,20211203191856,3.4,1005.8,81,49,14.5,0.8,10221.6
57493,20211203191856,0.6,1008.6,90,275,7.3,0.9,10413.9
57494,20211203191856,26.6,1023.5,56,124,4.9,0.9,10206.0
57545,20211203191856,29.9,1014.8,27,56,0.1,0.7,10335.8
57573,20211203191856,5.1,1021.9,54,122,5.4,0.9,10422.2
57581,20211203191856,2.0,1004.4,6,134,13.5,1.5,10156.8
57583,20211203191856,2.2,1004.0,57,79,12.6,0.4,10161.8
57595,20211203191856,1.1,1013.6,87,193,3.2,0.4,10329.8
58402,20211203191856,33.1,1026.1,33,356,3.5,1.3,10031.7
58407,20211203191856,14.8,1019.5,46,213,9.1,1.5,10189.0
58500,20211203191856,7.1,1000.0,71,29,11.0,0.6,10477.1
57554,20211203191856,8.7,1022.5,89,267,9.4,0.7,10068.4
57562,20211203191856,23.7,1007.9,75,143,10.1,1.4,10390.2
57574,20211203191856,21.2,1004.3,82,270,12.5,1.1,10032.8
57584,20211203191856,12.3,1025.7,65,66,3.2,1.4,10252.5
57642,20211203191856,21.2,1014.7,77,325,10.3,0.4,10324.1
57649,20211203191856,26.4,1005.1,58,67,13.3,1.2,10444.9
57655,20211203191856,28.8,1000.7,3,84,14.0,1.5,10358.0
57662,20211203191856,2.2,1002.1,32,53,9.8,0.7,10465.9
57669,20211203191856,1.7,1001.6,68,347,4.3,1.1,10096.4
57671,20211203191856,3.8,1019.5,69,327,0.3,1.4,10370.6
57673,20211203191856,15.1,1011.5,66,32,0.4,1.1,10284.7
57679,20211203191856,26.0,1006.6,5,12,2.3,1.5,10103.0
57682,20211203191856,2.2,1011.7,79,94,1.3,0.9,10306.1
57687,20211203191856,20.9,1015.1,50,165,0.3,0.1,10070.9
57745,20211203191856,18.7,1022.0,80,67,10.5,1.2,10106.6
57749,20211203191856,25.7,1009.0,69,337,7.3,0.0,10008.3
57752,20211203191856,7.8,1015.1,72,0,9.3,0.1,10156.7
57758,20211203191856,7.4,1007.2,60,237,4.0,0.8,10142.0
57761,20211203191856,5.3,1025.2,79,213,12.3,0.5,10181.9
57766,20211203191856,25.3,1024.0,73,112,12.0,1.2,10388.7
57774,20211203191856,3.6,1021.2,24,312,12.8,1.4,10032.1
57776,20211203191856,3.7,1006.1,39,282,9.5,1.3,10315.9
57779,20211203191856,2.7,1023.4,74,80,8.7,0.8,10336.6
57780,20211203191856,2.2,1017.3,39,122,6.9,1.0,10455.2
57841,20211203191856,18.6,1017.9,37,337,2.3,1.1,10033.8
57845,20211203191856,17.1,1024.8,95,298,0.4,0.9,10305.0
57853,20211203191856,14.5,1002.9,65,136,14.4,0.5,10020.8
57857,20211203191856,16.9,1015.8,54,27,10.7,0.3,10113.4
57860,20211203191856,5.3,1018.8,77,57,1.0,1.3,10454.4
57866,20211203191856,20.7,1009.8,38,79,3.6,0.7,10437.7
57872,20211203191856,24.5,1022.1,83,273,10.1,1.0,10258.2
57874,20211203191856,28.5,1010.7,50,182,13.1,0.7,10245.0
57889,20211203191856,12.8,1025.1,71,98,0.2,0.7,10148.2
57965,20211203191856,29.7,1001.6,43,187,4.4,1.1,10087.6
57972,20211203191856,29.7,1026.3,57,315,8.1,0.2,10380.8
57974,20211203191856,14.6,1023.8,51,141,12.6,0.0,10319.1
50936,20211203191856,12.3,1000.2,93,321,5.5,1.1,10076.4
50945,20211203191856,1.5,1025.4,7,69,8.0,1.3,10328.7
50948,20211203191856,10.6,1014.2,57,257,4.7,0.8,10370.6
50949,20211203191856,8.1,1013.5,55,153,14.5,0.8,10051.4
54041,20211203191856,31.3,1005.0,59,92,1.7,1.5,10288.9
54049,20211203191856,1.0,1005.6,57,122,13.2,0.7,10326.4
54063,20211203191856,5.3,1021.6,22,148,10.0,1.3,10262.4
54064,20211203191856,0.2,1011.6,84,119,9.8,1.3,10318.9
54142,20211203191856,1.6,1008.7,40,147,0.8,1.0,10310.6
54157,20211203191856,15.2,1011.1,38,142,1.9,0.6,10497.2
54161,20211203191856,18.8,1016.9,90,25,7.7,0.2,10218.1
54165,20211203191856,30.1,1003.9,4,69,3.2,1.4,10151.5
54171,20211203191856,34.4,1007.2,6,277,12.5,0.4,10206.5
54181,20211203191856,2.6,1018.1,97,52,9.9,0.6,10334.3
54186,20211203191856,28.7,1004.2,53,313,9.3,1.3,10330.6
54195,20211203191856,0.2,1007.3,97,31,14.2,1.1,10270.8
54260,20211203191856,28.0,1009.0,94,327,6.9,0.6,10368.8
54263,20211203191856,30.6,1003.7,82,341,14.5,1.3,10226.4
54266,20211203191856,6.2,1018.0,14,115,4.7,0.1,10481.5
54273,20211203191856,11.1,1009.3,80,122,6.3,1.5,10447.8
54276,20211203191856,14.6,1001.4,100,93,12.1,0.0,10434.6
54284,20211203191856,20.0,1004.5,30,129,4.2,0.6,10358.8
54285,20211203191856,20.9,1026.0,21,244,10.7,0.5,10293.7
54286,20211203191856,26.4,1011.5,42,159,11.0,1.2,10353.2
54292,20211203191856,30.8,1020.5,81,220,12.9,0.3,10269.3
54363,20211203191856,7.4,1009.3,8,326,6.8,0.8,10135.0
54374,20211203191856,0.9,1017.9,11,192,4.1,0.6,10195.5
54377,20211203191856,28.7,1010.1,41,137,6.6,0.9,10207.4
54386,20211203191856,8.8,1008.9,76,72,5.4,1.5,10280.8
58026,20211203191856,10.9,1025.8,100,109,1.3,1.4,10210.0
58027,20211203191856,9.1,1026.1,24,116,4.7,0.1,10152.1
58038,20211203191856,11.9,1013.2,42,11,8.3,0.5,10385.1
58040,20211203191856,19.3,1001.0,10,101,2.1,0.8,10371.3
58047,20211203191856,15.4,1012.8,19,144,13.3,0.9,10242.2
58130,20211203191856,21.6,1009.9,41,71,2.8,0.3,10008.8
58135,20211203191856,32.4,1000.0,81,156,2.0,0.9,10245.1
58138,20211203191856,9.7,1000.9,60,245,7.1,0.9,10013.9
58141,20211203191856,27.8,1003.2,73,241,0.3,0.2,10029.8
58143,20211203191856,13.9,1000.7,91,193,4.3,1.5,10382.2
58150,20211203191856,16.1,1008.3,45,349,10.1,1.2,10022.7
58158,20211203191856,25.6,1003.4,29,74,5.5,0.3,10204.0
58238,20211203191856,33.7,1000.0,71,91,11.8,0.2,10384.9
58241,20211203191856,3.8,1016.7,79,249,10.1,0.5,10077.7
58251,20211203191856,6.6,1021.7,60,118,10.2,0.7,10490.5
58252,20211203191856,20.6,1017.6,89,264,13.2,1.2,10090.3
58255,20211203191856,2.6,1023.3,84,165,6.4,0.5,10490.9
58259,20211203191856,28.2,1001.8,82,129,3.5,0.4,10004.2
58265,20211203191856,28.3,1017.1,14,122,3.5,0.1,10307.2
58343,20211203191856,15.5,1018.7,20,281,11.6,1.5,10279.0
58345,20211203191856,9.8,1011.5,69,16,13.1,1.5,10020.9
58354,20211203191856,25.3,1022.5,43,121,5.5,1.1,10393.4
58356,20211203191856,23.7,1018.5,61,248,6.8,0.2,10189.4
58358,20211203191856,11.8,1011.8,12,353,3.5,0.6,10341.0
57598,20211203191856,17.9,1022.2,4,332,11.7,0.0,10233.7
57696,20211203191856,27.8,1005.3,43,315,13.0,0.8,10401.3
57789,20211203191856,3.3,1005.9,71,27,9.5,0.3,10374.3
57793,20211203191856,1.0,1001.9,67,289,1.4,0.1,10079.2
57799,20211203191856,19.1,1006.1,1,155,5.5,1.5,10311.5
57894,20211203191856,15.5,1009.0,48,323,10.1,1.3,10235.6
57896,20211203191856,15.1,1023.7,52,221,13.7,1.0,10364.4
57993,20211203191856,25.4,1018.7,57,199,11.8,0.2,10255.0
58506,20211203191856,8.1,1024.3,35,45,11.6,0.6,10014.3
